,ADA_USDT,ATOM_USDT,AVAX_USDT,BCH_USDT,BNB_USDT,BTC_USDT,DOGE_USDT,DOT_USDT,EOS_USDT,ETC_USDT,ETH_USDT,LINK_USDT,LTC_USDT,NEO_USDT,SOL_USDT,TRX_USDT,UNI_USDT,XLM_USDT,XRP_USDT,XTZ_USDT
ADA_USDT,1.0,0.6531960763804651,0.6503902776560885,0.5687867240432867,0.5317437328800882,0.6266287036114555,0.410091426038169,0.6986088262036783,0.6333726728010436,0.6061699344269154,0.6812604330504812,0.6810405276581861,0.6302611820563616,0.6179162461624519,0.5190721226231332,0.4616263312077288,0.5867619307153279,0.6791520005528605,0.556076329784588,0.6398480343421487
ATOM_USDT,0.6531960763804651,1.0,0.6191988310578497,0.5387580760624692,0.5074396680553106,0.5573079057950915,0.3670784313363244,0.7172913086726135,0.6072112501255899,0.5623270250426987,0.6366371061937605,0.6760833683467173,0.578704258969176,0.5982400755969486,0.4968495556049105,0.4412270174913731,0.5613641553596672,0.5577511359894634,0.4793956318675757,0.7050729015569187
AVAX_USDT,0.6503902776560885,0.6191988310578497,1.0,0.48318292205671276,0.5193368998536168,0.5579421318690223,0.3591436837918042,0.6262460831481265,0.540205338278065,0.5076322349208796,0.59123732389577,0.6117932929785971,0.5231912490964403,0.5535007801251065,0.5543255490667535,0.3682481228912812,0.5030257218533598,0.48158194346087035,0.46444337678991526,0.5794796521335502
BCH_USDT,0.5687867240432867,0.5387580760624692,0.48318292205671276,1.0,0.4939007719350831,0.64156813383756,0.42957210762083403,0.589181285297633,0.7097906196469087,0.7169893455173566,0.6501104076863058,0.6223467144683,0.7085127669447522,0.6551121755231668,0.41931945969596973,0.4860787130378356,0.4972586645370008,0.5478307195900131,0.4926895188370151,0.620182398558706
BNB_USDT,0.5317437328800882,0.5074396680553106,0.5193368998536168,0.4939007719350831,1.0,0.5951108818047077,0.2797578667252631,0.548724131581048,0.5315375045707939,0.49279134406298725,0.5973231447889131,0.5437842549291073,0.5333525099789714,0.5617333896288431,0.49893922653863326,0.45224366093323876,0.43802925888994276,0.4464814385367642,0.42782938768486556,0.5452155325808941
BTC_USDT,0.6266287036114555,0.5573079057950915,0.5579421318690223,0.64156813383756,0.5951108818047077,1.0,0.4614518277711526,0.6545008793330848,0.5953394389879229,0.5910157210782331,0.7756177538702139,0.6379690909380374,0.679418513400803,0.6245060405220532,0.5248902777173642,0.47462329593041924,0.5357824404603863,0.5452924380335751,0.502687882854643,0.5875661216615395
DOGE_USDT,0.410091426038169,0.3670784313363244,0.3591436837918042,0.42957210762083403,0.2797578667252631,0.4614518277711526,1.0,0.39324440149652823,0.4086764359742878,0.4680386664346246,0.444243401917734,0.41870976587740716,0.4172109580039801,0.4085500363836096,0.31267863176747307,0.277061907584656,0.3025025874038983,0.37168958112682016,0.3094778402221674,0.38820235237089695
DOT_USDT,0.6986088262036783,0.7172913086726135,0.6262460831481265,0.589181285297633,0.548724131581048,0.6545008793330848,0.39324440149652823,1.0,0.640205878418744,0.6097329444599071,0.7159743320808284,0.7034049502461217,0.6620458676513836,0.6229057359865637,0.5236960823553892,0.47642952107961184,0.64403043078167,0.5856835576366453,0.4992485620286547,0.6778799102225863
EOS_USDT,0.6333726728010436,0.6072112501255899,0.540205338278065,0.7097906196469087,0.5315375045707939,0.5953394389879229,0.4086764359742878,0.640205878418744,1.0,0.6986649145448318,0.6293491414150805,0.6424824322695889,0.6902539445269156,0.6992220575266732,0.42379861526049517,0.5733887081752612,0.5082190312118958,0.6414416543966533,0.6012831434472321,0.6956740276421126
ETC_USDT,0.6061699344269154,0.5623270250426987,0.5076322349208796,0.7169893455173566,0.49279134406298725,0.5910157210782331,0.4680386664346246,0.6097329444599071,0.6986649145448318,1.0,0.7147108571487513,0.6456073010818256,0.687484335447733,0.6834396291811211,0.46180270282248825,0.47795764961153125,0.5464673786241684,0.5615599852977103,0.5031840933204861,0.6544747812594117
