,ADA_USDT,ATOM_USDT,AVAX_USDT,BCH_USDT,BNB_USDT,BTC_USDT,DOGE_USDT,DOT_USDT,EOS_USDT,ETC_USDT,ETH_USDT,LINK_USDT,LTC_USDT,NEO_USDT,SOL_USDT,TRX_USDT,UNI_USDT,XLM_USDT,XRP_USDT,XTZ_USDT
ADA_USDT,1.0,0.6855476640580798,0.7489299054265042,0.7181203514053911,0.7134011162603299,0.7454441189895391,0.761245983853923,0.7676263925977467,0.7143656082442379,0.7302455879453489,0.7681002654501631,0.7834512424815674,0.7304013519050853,0.7505303264450011,0.7798983279013294,0.6503887892695388,0.7275813889003984,0.7920079914193998,0.8121673677637037,0.7109822796650497
ATOM_USDT,0.6855476640580798,1.0,0.7638290038871172,0.7545586394233462,0.7731698333676431,0.7272388788790051,0.6912665587607932,0.8205722403094345,0.7395504889791092,0.7330703454402253,0.7487941584074286,0.7707838045005225,0.771704067252118,0.7947788985273467,0.7505762308114491,0.7151401950667343,0.7452559688327991,0.7471931067182275,0.7105012528520581,0.7868000960948897
AVAX_USDT,0.7489299054265042,0.7638290038871172,1.0,0.7904069604115085,0.8098539579164306,0.7661774883206937,0.7420573665707649,0.8289369615387981,0.7588890498653098,0.7875776805633048,0.8264823269815015,0.8178865908435538,0.8049327931153669,0.8231220956032492,0.8282003727989584,0.7001727495444072,0.7938573876834137,0.7907256279007177,0.7632705479372299,0.7923193433389532
BCH_USDT,0.7181203514053911,0.7545586394233462,0.7904069604115085,1.0,0.864023747220609,0.8306282685222475,0.7895888703101829,0.8270824724806818,0.8312580185390318,0.8620535517865551,0.8467170850507175,0.8343186752238141,0.8847657747737354,0.8657906681044031,0.7728964770409515,0.7761071208906855,0.8062916970113307,0.8131844106428806,0.7723831356817853,0.789689545362275
BNB_USDT,0.7134011162603299,0.7731698333676431,0.8098539579164306,0.864023747220609,1.0,0.8071962624080642,0.7829628747242803,0.8578901748548421,0.8122431543500379,0.8345048508545819,0.8633998901070524,0.8193087831442245,0.8748247279466922,0.8851447258083205,0.8066873064059943,0.8368564369810968,0.8318910627182592,0.8235073374167593,0.7801014838338262,0.7907086762848612
BTC_USDT,0.7454441189895391,0.7272388788790051,0.7661774883206937,0.8306282685222475,0.8071962624080642,1.0,0.7792159044651068,0.7810747958026891,0.7724167806262479,0.8063185350308163,0.8741090356597698,0.7909678754474133,0.8240524676303214,0.8174864177061949,0.7421707616355983,0.7018421419217423,0.7928176703647662,0.7784320152816809,0.739153967744848,0.761875820383565
DOGE_USDT,0.761245983853923,0.6912665587607932,0.7420573665707649,0.7895888703101829,0.7829628747242803,0.7792159044651068,1.0,0.7948579225110953,0.760248912763382,0.7916207289238116,0.7702800868338537,0.7461324142789203,0.8031502176809994,0.8065398334101952,0.728605201102843,0.7336016054944864,0.7511576813810059,0.8021502472085814,0.7590382037792769,0.742390342136477
DOT_USDT,0.7676263925977467,0.8205722403094345,0.8289369615387981,0.8270824724806818,0.8578901748548421,0.7810747958026891,0.7948579225110953,1.0,0.8057368834144439,0.8229446127004265,0.8372723416844824,0.860719698915839,0.8650654055526042,0.8645458172088452,0.8417202460286223,0.7802277033577385,0.8319017503124001,0.8166146935841325,0.7885393598171464,0.8360800029766042
EOS_USDT,0.7143656082442379,0.7395504889791092,0.7588890498653098,0.8312580185390318,0.8122431543500379,0.7724167806262479,0.760248912763382,0.8057368834144439,1.0,0.8127256729265014,0.7906782595850999,0.7937365544783861,0.841487256326867,0.8114040667677239,0.728034932565616,0.7586459207973666,0.7701738247895005,0.8164869998822037,0.7622620492503789,0.7848856550260157
ETC_USDT,0.7302455879453489,0.7330703454402253,0.7875776805633048,0.8620535517865551,0.8345048508545819,0.8063185350308163,0.7916207289238116,0.8229446127004265,0.8127256729265014,1.0,0.8632521696389548,0.8036337940159155,0.8560855356089495,0.8546089715420738,0.7649274818072256,0.7614485411027722,0.7975529804486522,0.8050451123538921,0.7701912536289169,0.781602457708875
